Simulation;Node;Local Preference;Next-hop;Path Length;Termination Time
1;131074;•;;0;0
1;262148;•;;0;0
1;393222;•;;0;0
1;1;◦;;0;0
1;262149;•;;0;0
1;2;•;;0;0
1;262150;•;;0;0
1;393220;•;;0;0
1;3;•;;0;0
1;262151;•;;0;0
1;4;•;;0;0
1;131078;•;;0;0
1;393218;•;;0;0
1;5;•;;0;0
1;131079;•;;0;0
1;262145;•;;0;0
1;6;•;;0;0
1;262146;•;;0;0
1;393216;•;;0;0
1;7;•;;0;0
1;8;•;;0;0
1;262156;•;;0;0
1;9;•;;0;0
1;262157;•;;0;0
1;393231;•;;0;0
1;10;•;;0;0
1;262158;•;;0;0
1;393228;•;;0;0
1;262159;•;;0;0
1;393229;•;;0;0
1;12;•;;0;0
1;262152;•;;0;0
1;393226;•;;0;0
1;13;•;;0;0
1;393227;•;;0;0
1;14;•;;0;0
1;262154;•;;0;0
1;262155;•;;0;0
1;393225;•;;0;0
1;16;•;;0;0
1;131090;•;;0;0
1;262164;•;;0;0
1;393238;•;;0;0
1;17;•;;0;0
1;131091;•;;0;0
1;18;•;;0;0
1;131088;•;;0;0
1;19;•;;0;0
1;131089;•;;0;0
1;262167;•;;0;0
1;20;•;;0;0
1;131094;•;;0;0
1;393234;•;;0;0
1;21;•;;0;0
1;131095;•;;0;0
1;393235;•;;0;0
1;22;•;;0;0
1;262162;•;;0;0
1;131093;•;;0;0
1;262163;•;;0;0
1;393233;•;;0;0
1;24;•;;0;0
1;131098;•;;0;0
1;393246;•;;0;0
1;25;•;;0;0
1;131099;•;;0;0
1;393247;•;;0;0
1;26;•;;0;0
1;131096;•;;0;0
1;262174;•;;0;0
1;393244;•;;0;0
1;27;•;;0;0
1;131097;•;;0;0
1;262175;•;;0;0
1;393245;•;;0;0
1;262168;•;;0;0
1;393242;•;;0;0
1;29;•;;0;0
1;262169;•;;0;0
1;30;•;;0;0
1;131100;•;;0;0
1;393240;•;;0;0
1;31;•;;0;0
1;131101;•;;0;0
1;262171;•;;0;0
1;393241;•;;0;0
1;32;•;;0;0
1;33;•;;0;0
1;131107;•;;0;0
1;262181;•;;0;0
1;393255;•;;0;0
1;34;•;;0;0
1;262182;•;;0;0
1;35;•;;0;0
1;262183;•;;0;0
1;262176;•;;0;0
1;37;•;;0;0
1;131111;•;;0;0
1;393251;•;;0;0
1;38;•;;0;0
1;262178;•;;0;0
1;393248;•;;0;0
1;262179;•;;0;0
1;393249;•;;0;0
1;262188;•;;0;0
1;393262;•;;0;0
1;262189;•;;0;0
1;42;•;;0;0
1;131112;•;;0;0
1;393260;•;;0;0
1;43;•;;0;0
1;262191;•;;0;0
1;393261;•;;0;0
1;44;•;;0;0
1;131118;•;;0;0
1;262184;•;;0;0
1;393258;•;;0;0
1;45;•;;0;0
1;262185;•;;0;0
1;393259;•;;0;0
1;46;•;;0;0
1;262186;•;;0;0
1;393256;•;;0;0
1;47;•;;0;0
1;131117;•;;0;0
1;262187;•;;0;0
1;393257;•;;0;0
1;48;•;;0;0
1;131122;•;;0;0
1;262196;•;;0;0
1;49;•;;0;0
1;131123;•;;0;0
1;262197;p;263779;5;10
1;393271;•;;0;0
1;50;•;;0;0
1;262198;•;;0;0
1;393268;•;;0;0
1;51;•;;0;0
1;262199;•;;0;0
1;52;•;;0;0
1;131126;•;;0;0
1;262192;p;27988;6;12
1;393266;•;;0;0
1;131127;•;;0;0
1;393267;•;;0;0
1;131124;•;;0;0
1;262194;•;;0;0
1;393264;•;;0;0
1;55;•;;0;0
1;131125;•;;0;0
1;262195;•;;0;0
1;393265;•;;0;0
1;56;•;;0;0
1;131130;•;;0;0
1;262204;•;;0;0
1;393278;•;;0;0
1;57;•;;0;0
1;131131;•;;0;0
1;262205;•;;0;0
1;393279;•;;0;0
1;131128;•;;0;0
1;262206;p;18809;5;10
1;393276;•;;0;0
1;59;•;;0;0
1;131129;•;;0;0
1;262207;•;;0;0
1;60;•;;0;0
1;262200;•;;0;0
1;393274;•;;0;0
1;262201;•;;0;0
1;393275;•;;0;0
1;62;p;36236;4;8
1;262202;•;;0;0
1;393272;•;;0;0
1;63;•;;0;0
1;262203;•;;0;0
1;393273;•;;0;0
1;262212;•;;0;0
1;393286;•;;0;0
1;65;•;;0;0
1;262213;•;;0;0
1;393287;•;;0;0
1;262214;•;;0;0
1;393284;•;;0;0
1;262215;•;;0;0
1;393285;•;;0;0
1;68;•;;0;0
1;131142;•;;0;0
1;262208;•;;0;0
1;393282;•;;0;0
1;131143;•;;0;0
1;393283;•;;0;0
1;70;•;;0;0
1;262210;•;;0;0
1;71;•;;0;0
1;393281;•;;0;0
1;72;•;;0;0
1;262220;•;;0;0
1;393294;•;;0;0
1;73;•;;0;0
1;262221;•;;0;0
1;393295;•;;0;0
1;74;•;;0;0
1;131144;•;;0;0
1;262222;•;;0;0
1;393292;•;;0;0
1;262223;•;;0;0
1;131150;•;;0;0
1;262216;•;;0;0
1;393290;•;;0;0
1;77;•;;0;0
1;262217;•;;0;0
1;393291;•;;0;0
1;131148;•;;0;0
1;262218;•;;0;0
1;131149;•;;0;0
1;393289;•;;0;0
1;262228;•;;0;0
1;393302;•;;0;0
