 Time  | Event  |   Node   | Routing Information
   0   | LEARN  |    2     | ◦ via 2
   0   | SELECT |    2     | ◦ over •
   0   | EXPORT |    2     | ◦
   2   | LEARN  |  21954   | (r, 2) via 2
   2   | SELECT |  21954   | (r, 2) over •
   2   | EXPORT |  21954   | (r, 2)
   2   | LEARN  |  24556   | (c, 2) via 2
   2   | SELECT |  24556   | (c, 2) over •
   2   | EXPORT |  24556   | (c, 2)
   2   | LEARN  |  137704  | (r, 2) via 2
   2   | SELECT |  137704  | (r, 2) over •
   2   | EXPORT |  137704  | (r, 2)
   2   | LEARN  |  28591   | (p, 2) via 2
   2   | SELECT |  28591   | (p, 2) over •
   2   | EXPORT |  28591   | (p, 2)
   2   | LEARN  |  207422  | (p, 2) via 2
   2   | SELECT |  207422  | (p, 2) over •
   2   | EXPORT |  207422  | (p, 2)
   2   | LEARN  |  209591  | (p, 2) via 2
   2   | SELECT |  209591  | (p, 2) over •
   2   | EXPORT |  209591  | (p, 2)
   2   | LEARN  |  37628   | (p, 2) via 2
   2   | SELECT |  37628   | (p, 2) over •
   2   | EXPORT |  37628   | (p, 2)
   2   | LEARN  |  266489  | (p, 2) via 2
   2   | SELECT |  266489  | (p, 2) over •
   2   | EXPORT |  266489  | (p, 2)
   2   | LEARN  |  267222  | (p, 2) via 2
   2   | SELECT |  267222  | (p, 2) over •
   2   | EXPORT |  267222  | (p, 2)
   2   | LEARN  |  394717  | (c, 2) via 2
   2   | SELECT |  394717  | (c, 2) over •
   2   | EXPORT |  394717  | (c, 2)
   2   | LEARN  |  41837   | (p, 2) via 2
   2   | SELECT |  41837   | (p, 2) over •
   2   | EXPORT |  41837   | (p, 2)
   2   | LEARN  |  268602  | (p, 2) via 2
   2   | SELECT |  268602  | (p, 2) over •
   2   | EXPORT |  268602  | (p, 2)
   2   | LEARN  |  55257   | (p, 2) via 2
   2   | SELECT |  55257   | (p, 2) over •
   2   | EXPORT |  55257   | (p, 2)
   2   | LEARN  |  59445   | (r, 2) via 2
   2   | SELECT |  59445   | (r, 2) over •
   2   | EXPORT |  59445   | (r, 2)
   2   | LEARN  |    34    | (p, 2) via 2
   2   | SELECT |    34    | (p, 2) over •
   2   | EXPORT |    34    | (p, 2)
   2   | LEARN  |  56720   | (p, 2) via 2
   2   | SELECT |  56720   | (p, 2) over •
   2   | EXPORT |  56720   | (p, 2)
   2   | LEARN  |  135216  | (p, 2) via 2
   2   | SELECT |  135216  | (p, 2) over •
   2   | EXPORT |  135216  | (p, 2)
   2   | LEARN  |   3356   | (p, 2) via 2
   2   | SELECT |   3356   | (p, 2) over •
   2   | EXPORT |   3356   | (p, 2)
   2   | LEARN  |  140144  | (p, 2) via 2
   2   | SELECT |  140144  | (p, 2) over •
   2   | EXPORT |  140144  | (p, 2)
   2   | LEARN  |  142558  | (p, 2) via 2
   2   | SELECT |  142558  | (p, 2) over •
   2   | EXPORT |  142558  | (p, 2)
   4   | LEARN  |  141745  | • via 137704
