Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652075922486;62;5.988148670454391;1087220;0;Yes;56435
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652079186896;62;6.319335023797578;1074779;0;Yes;56456
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652079222529;62;6.319335023797578;1074779;0;Yes;56456
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652079233577;62;6.319335023797578;1074779;0;Yes;56456
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652079550506;62;6.319335023797578;1074779;0;Yes;56456
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652079825161;62;6.319335023797578;1074779;0;Yes;56456
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652080002935;20;0.07284364109726497;283183;0;Yes;73109
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652080202851;20;0.14635171600200686;505004;0;Yes;72530
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652080815725;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652081349082;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652081569835;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652081883476;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652081916673;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652081930920;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652082985347;20;0.07284364109726497;283183;0;Yes;73109
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652083214440;50;5.035201431922655;2987462;0;Yes;49838
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652083635404;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652084578548;20;0.16060314317870558;362131;0;Yes;72765
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652085942575;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652270174358;20;0.14635171600200686;505004;0;Yes;72530
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652270601277;20;0.14635171600200686;505004;0;Yes;72530
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652283284036;61;5.865580972785334;1502473;0;Yes;56451
Simulation;Delay Seed;Termination Time (Total);Termination Time (Avg.);Message Count;Detection Count;Terminated;Disconnected Count
1;1652343974562;62;5.988148670454391;1087220;0;Yes;56435
